pdbID,Ligand,Method,Resolution,Organism_Name,Organism_TaxID,EMDB_for_EMRelease,Pub_Title,Pub_Authors,Pub_Journal,Pub_Year,Pub_PubMed,Pub_DOI,Coord_File,EM_Map_File
8TO2,45D,ELECTRON MICROSCOPY,2.0,Synechocystis sp. PCC 6803,1148,EMD-41434,Structural and quantum chemical basis for OCP-mediated quenching of phycobilisomes.,"Sauer, P.V., Cupellini, L., Sutter, M., Bondanza, M., Dominguez Martin, M.A., Kirst, H., Bina, D., Koh, A.F., Kotecha, A., Greber, B.J., Nogales, E., Polivka, T., Mennucci, B., Kerfeld, C.A.",Sci Adv,2024,N/A,N/A,8TO2.cif,emd_41434.map.gz
8TPJ,45D,ELECTRON MICROSCOPY,2.1,Synechocystis sp. PCC 6803,1148,EMD-41475,Structural and quantum chemical basis for OCP-mediated quenching of phycobilisomes.,"Sauer, P.V., Cupellini, L., Sutter, M., Bondanza, M., Dominguez Martin, M.A., Kirst, H., Bina, D., Koh, A.F., Kotecha, A., Greber, B.J., Nogales, E., Polivka, T., Mennucci, B., Kerfeld, C.A.",Sci Adv,2024,N/A,N/A,8TPJ.cif,emd_41475.map.gz
9AU4,45D,ELECTRON MICROSCOPY,2.03,Synechocystis sp. PCC 6803,1148,EMD-43843,Cryo-EM structure of a photosystem I variant containing an unusual plastoquinone derivative in its electron transfer chain.,"Gisriel, C.J., Kurashov, V., Iwig, D.F., Russell, B.P., Vinyard, D.J., Brudvig, G.W., Golbeck, J.H., Lakshmi, K.V.",Sci Adv,2024,N/A,N/A,9AU4.cif,emd_43843.map.gz
3WD2,A1L,X-RAY DIFFRACTION,2.2,Serratia marcescens,615,N/A,Observation of the controlled assembly of preclick components in the in situ click chemistry generation of a chitinase inhibitor,"Hirose, T., Maita, N., Gouda, H., Koseki, J., Yamamoto, T., Sugawara, A., Nakano, H., Hirono, S., Shiomi, K., Watanabe, T., Taniguchi, H., Sharpless, K.B., Omura, S., Sunazuka, T.",Proc.Natl.Acad.Sci.USA,2013,N/A,N/A,3WD2.cif,N/A
3WD3,A1L,X-RAY DIFFRACTION,2.2,Serratia marcescens,615,N/A,Observation of the controlled assembly of preclick components in the in situ click chemistry generation of a chitinase inhibitor,"Hirose, T., Maita, N., Gouda, H., Koseki, J., Yamamoto, T., Sugawara, A., Nakano, H., Hirono, S., Shiomi, K., Watanabe, T., Taniguchi, H., Sharpless, K.B., Omura, S., Sunazuka, T.",Proc.Natl.Acad.Sci.USA,2013,N/A,N/A,3WD3.cif,N/A
3WD4,A1L,X-RAY DIFFRACTION,2.0,Serratia marcescens,615,N/A,Observation of the controlled assembly of preclick components in the in situ click chemistry generation of a chitinase inhibitor,"Hirose, T., Maita, N., Gouda, H., Koseki, J., Yamamoto, T., Sugawara, A., Nakano, H., Hirono, S., Shiomi, K., Watanabe, T., Taniguchi, H., Sharpless, K.B., Omura, S., Sunazuka, T.",Proc.Natl.Acad.Sci.USA,2013,N/A,N/A,3WD4.cif,N/A
1X2E,ATX,X-RAY DIFFRACTION,2.4,Serratia marcescens,615,N/A,Unusual extra space at the active site and high activity for acetylated hydroxyproline of prolyl aminopeptidase from Serratia marcescens,"Nakajima, Y., Ito, K., Sakata, M., Xu, Y., Nakashima, K., Matsubara, F., Hatakeyama, S., Yoshimoto, T.",J.Bacteriol.,2006,N/A,N/A,1X2E.cif,N/A
1IZL,BCR,X-RAY DIFFRACTION,3.7,Thermostichus vulcanus,197221; 32053,N/A,Crystal structure of oxygen-evolving photosystem II from Thermosynechococcus vulcanus at 3.7-A resolution,"Kamiya, N., Shen, J.-R.",Proc.Natl.Acad.Sci.USA,2003,N/A,N/A,1IZL.cif,N/A
1JB0,BCR,X-RAY DIFFRACTION,2.5,Synechococcus elongatus,32046,N/A,Three-dimensional Structure of Cyanobacterial Photosystem I at 2.5 A Resolution,"Jordan, P., Fromme, P., Witt, H.T., Klukas, O., Saenger, W., Krauss, N.",NATURE,2001,N/A,N/A,1JB0.cif,N/A
1Q90,BCR,X-RAY DIFFRACTION,3.1,Chlamydomonas reinhardtii,3055,N/A,An Atypical Haem in the Cytochrome B6F Complex,"Stroebel, D., Choquet, Y., Popot, J.-L., Picot, D.",Nature,2003,N/A,N/A,1Q90.cif,N/A
1S5L,BCR,X-RAY DIFFRACTION,3.5,Thermosynechococcus vestitus,146786,N/A,Architecture of the Photosynthetic Oxygen-Evolving Center,"Ferreira, K.N., Iverson, T.M., Maghlaoui, K., Barber, J., Iwata, S.",Science,2004,N/A,N/A,1S5L.cif,N/A
1VF5,BCR,X-RAY DIFFRACTION,3.0,Mastigocladus laminosus,83541,N/A,Structure of the Cytochrome B6F Complex of Oxygenic Photosynthesis: Tuning the Cavity,"Kurisu, G., Zhang, H., Smith, J.L., Cramer, W.A.",Science,2003,N/A,N/A,1VF5.cif,N/A
1W5C,BCR,X-RAY DIFFRACTION,3.2,Thermosynechococcus vestitus,146786,N/A,Crystal Structure of Cyanobacterial Photosystem II at 3.2 A Resolution: A Closer Look at the Mn- Cluster,"Biesiadka, J., Loll, B., Kern, J., Irrgang, K.-D., Zouni, A.",Phys.Chem.Chem.Phys.,2004,N/A,N/A,1W5C.cif,N/A
2AXT,BCR,X-RAY DIFFRACTION,3.0,Thermosynechococcus vestitus,146786; 197221,N/A,Towards complete cofactor arrangement in the 3.0 A resolution structure of photosystem II,"Loll, B., Kern, J., Saenger, W., Zouni, A., Biesiadka, J.",NATURE,2005,N/A,N/A,2AXT.cif,N/A
2D2C,BCR,X-RAY DIFFRACTION,3.8,Mastigocladus laminosus,83541,N/A,"Intraprotein transfer of the quinone analogue inhibitor 2,5-dibromo-3-methyl-6-isopropyl-p-benzoquinone in the cytochrome b6f complex","Yan, J., Kurisu, G., Cramer, W.A.",Proc.Natl.Acad.Sci.USA,2006,N/A,N/A,2D2C.cif,N/A
2E74,BCR,X-RAY DIFFRACTION,3.0,Mastigocladus laminosus,83541,N/A,Structure of the Cytochrome b(6)f Complex: Quinone Analogue Inhibitors as Ligands of Heme c(n),"Yamashita, E., Zhang, H., Cramer, W.A.",J.Mol.Biol.,2007,N/A,N/A,2E74.cif,N/A
2E75,BCR,X-RAY DIFFRACTION,3.55,Mastigocladus laminosus,83541,N/A,Structure of the Cytochrome b(6)f Complex: Quinone Analogue Inhibitors as Ligands of Heme c(n),"Yamashita, E., Zhang, H., Cramer, W.A.",J.Mol.Biol.,2007,N/A,N/A,2E75.cif,N/A
2E76,BCR,X-RAY DIFFRACTION,3.41,Mastigocladus laminosus,83541,N/A,Structure of the Cytochrome b(6)f Complex: Quinone Analogue Inhibitors as Ligands of Heme c(n),"Yamashita, E., Zhang, H., Cramer, W.A.",J.Mol.Biol.,2007,N/A,N/A,2E76.cif,N/A
2O01,BCR,X-RAY DIFFRACTION,3.4,Pisum sativum,3562; 3702; 3885; 3888,N/A,The structure of a plant photosystem I supercomplex at 3.4 A resolution.,"Amunts, A., Drory, O., Nelson, N.",Nature,2007,N/A,N/A,2O01.cif,N/A
2WSC,BCR,X-RAY DIFFRACTION,3.3,Arabidopsis thaliana,3562; 3702; 3847; 3885; 3888; 4513,N/A,Structure Determination and Improved Model of Plant Photosystem I.,"Amunts, A., Toporik, H., Borovikova, A., Nelson, N.",J.Biol.Chem.,2010,N/A,N/A,2WSC.cif,N/A
2WSE,BCR,X-RAY DIFFRACTION,3.49,Arabidopsis thaliana,3562; 3702; 3847; 3885; 3888; 4513,N/A,Structure determination and improved model of plant photosystem I,"Amunts, A., Toporik, H., Borovikova, A., Nelson, N.",J. Biol. Chem.,2010,N/A,N/A,2WSE.cif,N/A
2WSF,BCR,X-RAY DIFFRACTION,3.48,Arabidopsis thaliana,3562; 3702; 3847; 3885; 3888; 4513,N/A,Structure determination and improved model of plant photosystem I.,"Amunts, A., Toporik, H., Borovikova, A., Nelson, N.",J. Biol. Chem.,2010,N/A,N/A,2WSF.cif,N/A
2ZT9,BCR,X-RAY DIFFRACTION,3.0,Nostoc sp. PCC 7120 = FACHB-418,103690,N/A,"Structure-Function, Stability, and Chemical Modification of the Cyanobacterial Cytochrome b6f Complex from Nostoc sp. PCC 7120","Baniulis, D., Yamashita, E., Whitelegge, J.P., Zatsman, A.I., Hendrich, M.P., Hasan, S.S., Ryan, C.M., Cramer, W.A.",J.Biol.Chem.,2009,N/A,N/A,2ZT9.cif,N/A
3A0B,BCR,X-RAY DIFFRACTION,3.7,Thermostichus vulcanus,32053,N/A,Location of chloride and its possible functions in oxygen-evolving photosystem II revealed by X-ray crystallography,"Kawakami, K., Umena, Y., Kamiya, N., Shen, J.-R.",Proc.Natl.Acad.Sci.USA,2009,N/A,N/A,3A0B.cif,N/A
3A0H,BCR,X-RAY DIFFRACTION,4.0,Thermostichus vulcanus,32053,N/A,Location of chloride and its possible functions in oxygen-evolving photosystem II revealed by X-ray crystallography,"Kawakami, K., Umena, Y., Kamiya, N., Shen, J.-R.",Proc.Natl.Acad.Sci.USA,2009,N/A,N/A,3A0H.cif,N/A
3JCU,BCR,ELECTRON MICROSCOPY,3.2,Spinacia oleracea,3562,EMD-6617,Structure of spinach photosystem II-LHCII supercomplex at 3.2 A resolution,"Wei, X.P., Su, X.D., Cao, P., Liu, X.Y., Chang, W.R., Li, M., Zhang, X.Z., Liu, Z.F.",Nature,2016,N/A,N/A,3JCU.cif,emd_6617.map.gz
3KZI,BCR,X-RAY DIFFRACTION,3.6,Thermosynechococcus vestitus BP-1,197221,N/A,Crystal Structure of Monomeric Photosystem II from Thermosynechococcus elongatus at 3.6-A Resolution,"Broser, M., Gabdulkhakov, A., Kern, J., Guskov, A., Muh, F., Saenger, W., Zouni, A.",J.Biol.Chem.,2010,N/A,N/A,3KZI.cif,N/A
3LW5,BCR,X-RAY DIFFRACTION,3.3,Pisum sativum,32644; 3888,N/A,Structure determination and improved model of plant photosystem I,"Amunts, A., Toporik, H., Borovikova, A., Nelson, N.",J.Biol.Chem.,2010,N/A,N/A,3LW5.cif,N/A
3PCQ,BCR,X-RAY DIFFRACTION,8.984,Thermosynechococcus vestitus BP-1,197221,N/A,Femtosecond X-ray protein nanocrystallography.,"Chapman, H.N., Fromme, P., Barty, A., White, T.A., Kirian, R.A., Aquila, A., Hunter, M.S., Schulz, J., Deponte, D.P., Weierstall, U., Doak, R.B., Maia, F.R., Martin, A.V., Schlichting, I., Lomb, L., Coppola, N., Shoeman, R.L., Epp, S.W., Hartmann, R., Rolles, D., Rudenko, A., Foucar, L., Kimmel, N., Weidenspointner, G., Holl, P., Liang, M., Barthelmess, M., Caleman, C., Boutet, S., Bogan, M.J., Krzywinski, J., Bostedt, C., Bajt, S., Gumprecht, L., Rudek, B., Erk, B., Schmidt, C., Homke, A., Reich, C., Pietschner, D., Struder, L., Hauser, G., Gorke, H., Ullrich, J., Herrmann, S., Schaller, G., Schopper, F., Soltau, H., Kuhnel, K.U., Messerschmidt, M., Bozek, J.D., Hau-Riege, S.P., Frank, M., Hampton, C.Y., Sierra, R.G., Starodub, D., Williams, G.J., Hajdu, J., Timneanu, N., Seibert, M.M., Andreasson, J., Rocker, A., Jonsson, O., Svenda, M., Stern, S., Nass, K., Andritschke, R., Schroter, C.D., Krasniqi, F., Bott, M., Schmidt, K.E., Wang, X., Grotjohann, I., Holton, J.M., Barends, T.R., Neutze, R., Marchesini, S., Fromme, R., Schorb, S., Rupp, D., Adolph, M., Gorkhover, T., Andersson, I., Hirsemann, H., Potdevin, G., Graafsma, H., Nilsson, B., Spence, J.C.",Nature,2011,N/A,N/A,3PCQ.cif,N/A
3WU2,BCR,X-RAY DIFFRACTION,1.9,Thermostichus vulcanus,32053,N/A,Crystal structure of oxygen-evolving photosystem II at a resolution of 1.9 A,"Umena, Y., Kawakami, K., Shen, J.-R., Kamiya, N.",Nature,2011,N/A,N/A,3WU2.cif,N/A
4FBY,BCR,X-RAY DIFFRACTION,6.56,Thermosynechococcus vestitus BP-1,197221,N/A,Room temperature femtosecond X-ray diffraction of photosystem II microcrystals.,"Kern, J., Alonso-Mori, R., Hellmich, J., Tran, R., Hattne, J., Laksmono, H., Glockner, C., Echols, N., Sierra, R.G., Sellberg, J., Lassalle-Kaiser, B., Gildea, R.J., Glatzel, P., Grosse-Kunstleve, R.W., Latimer, M.J., McQueen, T.A., DiFiore, D., Fry, A.R., Messerschmidt, M., Miahnahri, A., Schafer, D.W., Seibert, M.M., Sokaras, D., Weng, T.C., Zwart, P.H., White, W.E., Adams, P.D., Bogan, M.J., Boutet, S., Williams, G.J., Messinger, J., Sauter, N.K., Zouni, A., Bergmann, U., Yano, J., Yachandra, V.K.",Proc.Natl.Acad.Sci.USA,2012,N/A,N/A,4FBY.cif,N/A
4FE1,BCR,X-RAY DIFFRACTION,4.9228,Thermosynechococcus vestitus BP-1,197221,N/A,Improving the accuracy of macromolecular structure refinement at 7 A resolution.,"Brunger, A.T., Adams, P.D., Fromme, P., Fromme, R., Levitt, M., Schroder, G.F.",Structure,2012,N/A,N/A,4FE1.cif,N/A
4H0L,BCR,X-RAY DIFFRACTION,3.25,Mastigocladus laminosus,83541,N/A,Quinone-dependent proton transfer pathways in the photosynthetic cytochrome b6f complex,"Hasan, S.S., Yamashita, E., Baniulis, D., Cramer, W.A.",Proc.Natl.Acad.Sci.USA,2013,N/A,N/A,4H0L.cif,N/A
4H13,BCR,X-RAY DIFFRACTION,3.07,Mastigocladus laminosus,83541,N/A,Quinone-dependent proton transfer pathways in the photosynthetic cytochrome b6f complex,"Hasan, S.S., Yamashita, E., Baniulis, D., Cramer, W.A.",Proc.Natl.Acad.Sci.USA,2013,N/A,N/A,4H13.cif,N/A
4H44,BCR,X-RAY DIFFRACTION,2.7,Nostoc sp. PCC 7120 = FACHB-418,103690,N/A,Quinone-dependent proton transfer pathways in the photosynthetic cytochrome b6f complex,"Hasan, S.S., Yamashita, E., Baniulis, D., Cramer, W.A.",Proc.Natl.Acad.Sci.USA,2013,N/A,N/A,4H44.cif,N/A
4I7Z,BCR,X-RAY DIFFRACTION,2.803,Mastigocladus laminosus,83541,N/A,Lipid-induced conformational changes within the cytochrome b6f complex of oxygenic photosynthesis.,"Hasan, S.S., Stofleth, J.T., Yamashita, E., Cramer, W.A.",Biochemistry,2013,N/A,N/A,4I7Z.cif,N/A
4IL6,BCR,X-RAY DIFFRACTION,2.1,Thermostichus vulcanus,197221; 32053,N/A,Structure of Sr-substituted photosystem II at 2.1 A resolution and its implications in the mechanism of water oxidation,"Koua, F.H., Umena, Y., Kawakami, K., Shen, J.R.",Proc.Natl.Acad.Sci.USA,2013,N/A,N/A,4IL6.cif,N/A
4IXQ,BCR,X-RAY DIFFRACTION,5.7,Thermosynechococcus vestitus BP-1,197221,N/A,Simultaneous femtosecond X-ray spectroscopy and diffraction of photosystem II at room temperature.,"Kern, J., Alonso-Mori, R., Tran, R., Hattne, J., Gildea, R.J., Echols, N., Glockner, C., Hellmich, J., Laksmono, H., Sierra, R.G., Lassalle-Kaiser, B., Koroidov, S., Lampe, A., Han, G., Gul, S., Difiore, D., Milathianaki, D., Fry, A.R., Miahnahri, A., Schafer, D.W., Messerschmidt, M., Seibert, M.M., Koglin, J.E., Sokaras, D., Weng, T.C., Sellberg, J., Latimer, M.J., Grosse-Kunstleve, R.W., Zwart, P.H., White, W.E., Glatzel, P., Adams, P.D., Bogan, M.J., Williams, G.J., Boutet, S., Messinger, J., Zouni, A., Sauter, N.K., Yachandra, V.K., Bergmann, U., Yano, J.",Science,2013,N/A,N/A,4IXQ.cif,N/A
4IXR,BCR,X-RAY DIFFRACTION,5.9,Thermosynechococcus vestitus,146786,N/A,Simultaneous femtosecond X-ray spectroscopy and diffraction of photosystem II at room temperature.,"Kern, J., Alonso-Mori, R., Tran, R., Hattne, J., Gildea, R.J., Echols, N., Glockner, C., Hellmich, J., Laksmono, H., Sierra, R.G., Lassalle-Kaiser, B., Koroidov, S., Lampe, A., Han, G., Gul, S., Difiore, D., Milathianaki, D., Fry, A.R., Miahnahri, A., Schafer, D.W., Messerschmidt, M., Seibert, M.M., Koglin, J.E., Sokaras, D., Weng, T.C., Sellberg, J., Latimer, M.J., Grosse-Kunstleve, R.W., Zwart, P.H., White, W.E., Glatzel, P., Adams, P.D., Bogan, M.J., Williams, G.J., Boutet, S., Messinger, J., Zouni, A., Sauter, N.K., Yachandra, V.K., Bergmann, U., Yano, J.",Science,2013,N/A,N/A,4IXR.cif,N/A
4KT0,BCR,X-RAY DIFFRACTION,2.8,Synechocystis sp. PCC 6803,1148,N/A,Crystal structures of virus-like photosystem I complexes from the mesophilic cyanobacterium Synechocystis PCC 6803.,"Mazor, Y., Nataf, D., Toporik, H., Nelson, N.",Elife,2014,N/A,N/A,4KT0.cif,N/A
4L6V,BCR,X-RAY DIFFRACTION,3.8,Synechocystis sp. PCC 6803,1148; 1204343,N/A,Crystal structures of virus-like photosystem I complexes from the mesophilic cyanobacterium Synechocystis PCC 6803.,"Mazor, Y., Nataf, D., Toporik, H., Nelson, N.",Elife,2014,N/A,N/A,4L6V.cif,N/A
4OGQ,BCR,X-RAY DIFFRACTION,2.501,Nostoc sp. PCC 7120 = FACHB-418,103690,N/A,Internal Lipid Architecture of the Hetero-Oligomeric Cytochrome b6f Complex.,"Hasan, S.S., Cramer, W.A.",Structure,2014,N/A,N/A,4OGQ.cif,N/A
